y,z
0.00666201,0.000472025
0.00665144,0.000471205
0.00662218,0.000468938
0.0065753,0.000465307
0.0065328,0.000462021
0.00653072,0.00046186
0.00659425,0.000466774
0.00671557,0.000476182
0.00681008,0.000483531
0.00684772,0.000486462
0.0068689,0.000488113
0.0069124,0.000491508
0.00699156,0.000497693
0.00709964,0.000506159
0.00721921,0.000515552
0.00732787,0.000524113
0.00746741,0.000535143
0.00768394,0.000552336
0.00793258,0.000572194
0.00821992,0.0005953
0.00855416,0.000622386
0.00892578,0.000652768
0.00932625,0.000685848
0.00966363,0.000714182
0.00992998,0.000737124
0.0103187,0.000771771
0.0108116,0.000817882
0.0113004,0.000866046
0.0117616,0.00091372
0.0124298,0.00098662
0.0130661,0.00106028
0.0134858,0.00111112
0.0138533,0.00115711
0.0138946,0.00116237
0.0137263,0.00114106
0.0137069,0.00113862
0.0139204,0.00116565
0.0138989,0.00116292
0.0134067,0.0011014
0.0128193,0.00103121
0.0126241,0.00100867
0.0122914,0.00097115
0.0116059,0.000897381
0.011197,0.000855657
0.0110334,0.000839443
0.010751,0.000812081
0.0101211,0.00075397
0.00944426,0.000695689
0.00892893,0.000653027
0.00848334,0.000616628
0.00805254,0.00058182
0.00781534,0.000562815
0.00786394,0.0005667
0.0080897,0.000584808
0.00823572,0.000596575
0.00829478,0.000601347
0.00832283,0.000603616
0.00841004,0.00061068
0.0088087,0.000643166
0.00961839,0.000710343
0.010794,0.000816199
0.0121621,0.000956873
0.0141498,0.00119523
0.0163784,0.00151069
0.0177053,0.00172289
0.0182151,0.00180931
0.0183328,0.00182964
0.0182476,0.0018149
0.0178643,0.00174955
0.0173851,0.00167
0.0173478,0.00166391
0.0177938,0.0017377
0.0179898,0.00177077
0.0177526,0.0017308
0.0171093,0.00162531
0.0159183,0.00144136
0.0139359,0.00116764
0.012173,0.000958064
0.011286,0.000864601
0.0110813,0.000844157
0.0102383,0.000764481
0.00901154,0.00065982
0.00811941,0.000587199
0.00742915,0.000532115
0.00700047,0.00049839
0.00679169,0.0004821
0.00667362,0.000472925
0.0068053,0.000483159
0.0070391,0.000501414
0.0071444,0.000509672
0.00711343,0.000507241
0.00682876,0.000484985
0.00650263,0.000459689
0.00631799,0.000445463
0.00573252,0.000400809
0.0049279,0.000340567
0.00431554,0.000295595
0.00398717,0.000271791
0.00376803,0.000256025
0.00358181,0.000242705
0.0035273,0.000238819
0.00376886,0.000256085
0.00394025,0.000268407
0.00382645,0.000260219
0.00361605,0.000245149
0.00354316,0.000239949
0.00355851,0.000241043
0.00355779,0.000240992
0.00362359,0.000245687
0.0036382,0.000246731
0.00364362,0.000247118
0.00382924,0.000260419
0.00416919,0.000284959
0.00477539,0.000329296
0.00555401,0.000387331
0.00615741,0.000433147
0.00669522,0.000474601
0.00726309,0.000519007
0.0078915,0.000568905
0.00871413,0.00063543
0.00949374,0.000699834
0.0104057,0.000779729
