t,s,y,z,a
0,5.41497,0.0066619,0.000472017,-0.0448558
0.005,5.69275,0.00663838,0.000470192,-0.0793895
0.01,5.97049,0.00656918,0.000464834,-0.0987728
0.015,6.24826,0.00651616,0.000460735,-0.118414
0.02,6.52596,0.00659212,0.000466609,-0.135288
0.025,6.80371,0.00676041,0.000479666,-0.148081
0.03,7.08144,0.00681888,0.000484216,-0.184442
0.035,7.35929,0.00686091,0.000487491,-0.255108
0.04,7.63713,0.00697403,0.000496322,-0.393018
0.045,7.91484,0.00714495,0.000509715,-0.514892
0.05,8.19243,0.00731923,0.000523432,-0.670138
0.055,8.4704,0.00761042,0.000546487,-0.581025
0.06,8.74821,0.00797102,0.000575276,-0.326044
0.065,9.02621,0.00841402,0.000611002,-0.0375527
0.07,9.3043,0.00895059,0.000654806,0.176805
0.075,9.58179,0.00944408,0.000695674,0.460294
0.08,9.85955,0.00991122,0.000735488,0.994295
0.085,10.1375,0.0106991,0.000807145,1.50906
0.09,10.4153,0.0114914,0.000885526,1.87985
0.095,10.693,0.0126233,0.00100859,2.07655
0.1,10.971,0.0136756,0.0011347,2.02247
0.105,11.2491,0.0143086,0.00121602,1.68957
0.11,11.5272,0.0140744,0.00118546,1.25278
0.115,11.8047,0.014219,0.00120425,0.879829
0.12,12.0826,0.0148256,0.00128548,0.480188
0.125,12.3602,0.0143684,0.00122391,0.127189
0.13,12.638,0.0138368,0.00115501,0.0479231
0.135,12.9162,0.0128938,0.00103992,0.268331
0.14,13.1939,0.0121312,0.000953485,0.399717
0.145,13.4716,0.0121278,0.000953104,0.507678
0.15,13.7492,0.011386,0.00087473,0.55832
0.155,14.0275,0.0102972,0.000769818,0.695664
0.16,14.3057,0.00938336,0.000690603,0.635433
0.165,14.583,0.0085979,0.000625948,0.468447
0.17,14.86,0.00855646,0.000622574,0.13629
0.175,15.1374,0.00894448,0.000654305,-0.0804349
0.18,15.4152,0.00919152,0.000674675,-0.0113614
0.185,15.6926,0.00919696,0.000675126,0.0148148
0.19,15.9706,0.00977378,0.000723598,0.137242
0.195,16.2482,0.0113323,0.000869275,0.119487
0.2,16.5265,0.0135684,0.00112134,-0.176745
0.205,16.8049,0.0166021,0.00154518,-0.669152
